,smiles,ROMol,n_Atoms,energy(Ha),time cost(s)
0,C=C,<rdkit.Chem.rdchem.Mol object at 0x1485e8b6b3c0>,2,-78.03876941254534,1.7683987617492676
1,C=O,<rdkit.Chem.rdchem.Mol object at 0x148593e45f90>,2,-113.86953646696564,1.261237382888794
2,C#N,<rdkit.Chem.rdchem.Mol object at 0x148593e45d60>,2,-92.87694247778018,1.1098835468292236
3,CCO,<rdkit.Chem.rdchem.Mol object at 0x148593e45cf0>,3,-154.0899187072665,4.57218074798584
4,CCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x148593e45ba0>,5,-266.85898515767707,19.48705816268921
5,CN=C=O,<rdkit.Chem.rdchem.Mol object at 0x148593e45c80>,4,-206.79559264403252,6.749972105026245
6,C1=CCC=CC1,<rdkit.Chem.rdchem.Mol object at 0x148593e45b30>,6,-231.8467615672923,18.620675802230835
7,C1=CC=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x148593e45ac0>,6,-230.71352354231627,6.371823072433472
8,C1=C(C)C=CC=C1,<rdkit.Chem.rdchem.Mol object at 0x148593e45c10>,7,-269.75355216648376,14.807360649108887
9,C1CCC2CCCCC2C1,<rdkit.Chem.rdchem.Mol object at 0x148593e45a50>,10,-389.2048422476975,61.88152027130127
